Placa,Pais,Plot,Site,Provincia,Nro_Plot,Altitud_plot,Latitud_plot,Longitud_plot,Family,Genus,Species,Scientific_name,POM,IND3,DAP3,HT3,Code3,BA3,Year3,code notes names
2836.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,cumbalense,Hedyosmum cumbalense,1.3,1,6.1,3.544337564,,0.002922467,2019,ID_spp
2837.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,8.6,5.561591569,,0.005808805,2019,ID_spp
2837.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,9.1,5.970084771,,0.006503882,2019,ID_spp
2838,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,luteynii,Hedyosmum luteynii,1.3,1,7.6,4.746167462,,0.00453646,2019,ID_spp
2839,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,7.8,4.908787657,,0.004778362,2019,ID_spp
2840.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.7,1,22.5,14.91738035,,0.039760782,2019,ID_spp
2840.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,8.4,5.398183794,,0.005541769,2019,ID_spp
2840.3,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,6.7,4.020241977,,0.003525652,2019,ID_spp
2841,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,6.8,4.10028893,,0.003631681,2019,Genus id number plot
2842,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Myrtaceae,Myrcianthes,orthostemon,Myrcianthes orthostemon,2.5,1,11.7,8.062501357,,0.010751315,2019,ID_spp
2843,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,5.3,2.924928458,,0.002206183,2019,Genus id number plot
2844,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.7,1,13.2,9.218698163,,0.013684778,2019,ID_spp
2845,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,16.2,11.35688487,,0.020611989,2019,ID_spp
2846,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Araliaceae,Schefflera,sodiroi,Schefflera sodiroi,2.05,1,19.2,13.21614268,,0.028952918,2019,ID_spp
2847,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Escalloniaceae,Escallonia,paniculata,Escallonia paniculata,4.5,1,6,3.465861168,,0.002827433,2019,ID_spp
2848,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Melastomataceae,Axinaea,macrophylla,Axinaea macrophylla,1.3,1,17.1,11.94551686,,0.022965828,2019,ID_spp
2849,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,11.5,7.904855248,,0.010386891,2019,ID_spp
2850.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.9,1,7.9,4.990216537,,0.00490167,2019,ID_spp
2850.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,2.2,1,10.1,6.783765277,,0.008011847,2019,ID_spp
2851,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,10.2,6.864687267,,0.008171282,2019,Genus id number plot
2852,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Melastomataceae,Miconia,corymbiformis,Miconia corymbiformis,1.3,1,16.3,11.42356079,,0.020867244,2019,ID_spp
2853,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,luteynii,Hedyosmum luteynii,1.3,1,28.5,17.15072781,,0.063793966,2019,ID_spp
2854,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.3,1,7.4,4.583927524,,0.00430084,2019,ID_spp
2855,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,8,5.07171223,,0.005026548,2019,Genus id number plot
2856,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Myrtaceae,Myrcianthes,orthostemon,Myrcianthes orthostemon,1.3,1,24.6,15.8178927,,0.047529155,2019,ID_spp
