Scientific_names,Original_names
Acalypha diversifolia,Acalypha diversifolia
Aegiphila aculeifera,Aegiphila aculeifera
Aegiphila alba,Aegiphila alba
Aegiphila bogotensis,Aegiphila bogotensis
Aegiphila lopez-palacii var. pubescens,Aegiphila lopez-palacii var. pubescens
Aegiphila novogranatensis,Aegiphila novogranatensis
Aegiphila monticola,Aegiphila monticola
Aequatorium jamesonii,Aequatorium jamesonii
Agouticarpa williamsii,Agouticarpa williamsii
Aiouea formicaria,Aiouea formicaria
Aiouea palaciosii,Aiouea palaciosii
Alchornea grandis,Alchornea grandis
Alchornea bogotensis,Alchornea bogotensis
Alchornea triplinervia,Alchornea triplinervia
Alchornea glandulosa,Alchornea glandulosa
Allophylus dodsonii,Allophylus dodsonii
Allophylus excelsus,Allophylus excelsus
Allophylus floribundus,Allophylus floribundus
Alsophila erinacea,Alsophila erinacea
Alsophila firma,Alsophila firma
Alsophila incana,Alsophila incana
Alsophila conjugata,Alsophila conjugata
Alsophila cuspidata,Alsophila cuspidata
Andira taurotesticulata,Andira taurotesticulata
Aniba magnifica,Aniba magnifica
Annona deceptrix,Annona deceptrix
Annona mucosa,Annona mucosa
Annona quinduensis,Annona quinduensis
Aphelandra acanthus,Aphelandra acanthus
Axinaea lehmannii,Axinaea lehmannii
Axinaea macrophylla,Axinaea macrophylla
Axinaea quitensis,Axinaea quitensis
Bactris gasipaes var. chichagui,Bactris gasipaes var. chichagui
Banara glauca,Banara glauca
Banara regia,Banara regia
Beilschmiedia alloiophylla,Beilschmiedia alloiophylla
Beilschmiedia tovarensis,Beilschmiedia tovarensis
Beilschmiedia pendula,Beilschmiedia pendula
Billia rosea,Billia rosea
Blakea eriocalyx,Blakea eriocalyx
Blakea rotundifolia,Blakea rotundifolia
Boehmeria caudata,Boehmeria caudata
Boehmeria fallax,Boehmeria fallax
Brachyotum gleasonii,Brachyotum gleasonii
Brosimum guianense,Brosimum guianense
Brosimum utile subsp. occidentale,Brosimum utile subsp. occidentale
Brownea multijuga,Brownea multijuga
Browneopsis macrofoliolata,Browneopsis macrofoliolata
Brunellia acostae,Brunellia acostae
Brunellia comocladifolia,Brunellia comocladifolia
Brunellia tomentosa,Brunellia tomentosa
Bunchosia argentea,Bunchosia argentea
Calatola costaricensis,Calatola costaricensis
Capparidastrum tafallanum,Capparidastrum tafallanum
Carapa alticola,Carapa alticola
Carapa megistocarpa,Carapa megistocarpa
Carica microcarpa,Carica microcarpa
Casearia arborea,Casearia arborea
Casearia cajambrensis,Casearia cajambrensis
Casearia quinduensis,Casearia quinduensis
Casearia sylvestris,Casearia sylvestris
Castilla elastica,Castilla elastica
Cavendishia bracteata,Cavendishia bracteata
Cecropia bullata,Cecropia bullata
Cecropia gabrielis,Cecropia gabrielis
Cecropia obtusifolia,Cecropia obtusifolia
Cecropia hispidissima,Cecropia hispidissima
Cedrela montana,Cedrela montana
Ceroxylon echinulatum,Ceroxylon echinulatum
Cestrum humboldtii,Cestrum humboldtii
Cestrum jaramillanum,Cestrum jaramillanum
Cestrum megalophyllum,Cestrum megalophyllum
Cestrum petiolare,Cestrum petiolare
Chamaedorea linearis,Chamaedorea linearis
Chrysochlamys dependens,Chrysochlamys dependens
Chrysochlamys colombiana,Chrysochlamys colombiana
Chrysophyllum colombianum,Chrysophyllum colombianum
Cinchona pubescens,Cinchona pubescens
Citharexylum montanum,Citharexylum montanum
Citharexylum montanum var. chimborazense,Citharexylum montanum var. chimborazense
Citronella ilicifolia,Citronella ilicifolia
Citronella incarum,Citronella incarum
Clarisia racemosa,Clarisia racemosa
Clavija laplanadae,Clavija laplanadae
Cleome anomala,Cleome anomala
Clethra obovata,Clethra obovata
Clethra ovalifolia,Clethra ovalifolia
Clusia alata,Clusia alata
Clusia multiflora,Clusia multiflora
Clusia crenata,Clusia crenata
Clusia dixonii,Clusia dixonii
Clusia magnifolia,Clusia magnifolia
Coccoloba obovata,Coccoloba obovata
Compsoneura mutisii,Compsoneura mutisii
Conostegia centronioides var. centronioides,Conostegia centronioides var. centronioides
Conostegia montana,Conostegia montana
Cordia hebeclada,Cordia hebeclada
Cordiera longicaudata,Cordiera longicaudata
Cornus disciflora,Cornus disciflora
Cornus peruviana,Cornus peruviana
Coussapoa contorta,Coussapoa contorta
Coussapoa herthae,Coussapoa herthae
Coussarea latifolia,Coussarea latifolia
Critoniopsis occidentalis,Critoniopsis occidentalis
Croton floccosus,Croton floccosus
Croton tessmannii,Croton tessmannii
Cuatresia cuspidata,Cuatresia cuspidata
Cupania cinerea,Cupania cinerea
Cupania livida,Cupania livida
Cyathea brunnescens,Cyathea brunnescens
Cyathea caracasana,Cyathea caracasana
Cyathea catacampta,Cyathea catacampta
Cyathea multiflora,Cyathea multiflora
Cyathea pallescens,Cyathea pallescens
Cyathea corallifera,Cyathea corallifera
Cybianthus humilis,Cybianthus humilis
Dacryodes cupularis,Dacryodes cupularis
Daphnopsis equatorialis,Daphnopsis equatorialis
Delostoma integrifolium,Delostoma integrifolium
Dendropanax macrocarpus,Dendropanax macrocarpus
Dendropanax macrophyllus,Dendropanax macrophyllus
Dendrophorbium lloense,Dendrophorbium lloense
Dendrophorbium tipocochensis,Dendrophorbium tipocochensis
Dicksonia sellowiana,Dicksonia sellowiana
Discophora guianensis,Discophora guianensis
Duroia laevis,Duroia laevis
Dussia lehmannii,Dussia lehmannii
Elaeagia utilis,Elaeagia utilis
Endlicheria formosa,Endlicheria formosa
Erythrina edulis,Erythrina edulis
Erythroxylum macrophyllum,Erythroxylum macrophyllum
Escallonia myrtilloides,Escallonia myrtilloides
Escallonia paniculata,Escallonia paniculata
Eschweilera caudiculata,Eschweilera caudiculata
Eschweilera awaensis,Eschweilera awaensis
Eschweilera rimbachii,Eschweilera rimbachii
Eugenia florida,Eugenia florida
Eugenia crassimarginata,Eugenia crassimarginata
Faramea ampla,Faramea ampla
Faramea calyptrata,Faramea calyptrata
Faramea langlassei,Faramea langlassei
Faramea occidentalis,Faramea occidentalis
Faramea oblongifolia,Faramea oblongifolia
Faramea parvibractea,Faramea parvibractea
Ficus americana subsp. guianensis,Ficus americana subsp. guianensis
Ficus brevibracteata,Ficus brevibracteata
Ficus cervantesiana,Ficus cervantesiana
Ficus caldasiana,Ficus caldasiana
Ficus citrifolia,Ficus citrifolia
Ficus cuatrecasasiana,Ficus cuatrecasasiana
Ficus dulciaria,Ficus dulciaria
Ficus lacunata,Ficus lacunata
Ficus macbridei,Ficus macbridei
Ficus maxima,Ficus maxima
Ficus mutisii,Ficus mutisii
Ficus tonduzii,Ficus tonduzii
Ficus trianae,Ficus trianae
Freziera canescens,Freziera canescens
Freziera reticulata,Freziera reticulata
Freziera verrucosa,Freziera verrucosa
Gaiadendron punctatum,Gaiadendron punctatum
Garcinia macrophylla,Garcinia macrophylla
Garcinia madruno,Garcinia madruno
Geissanthus ambigua,Geissanthus ambigua
Geissanthus andinus,Geissanthus andinus
Geissanthus longistamineus,Geissanthus longistamineus
Geissanthus pichinchae,Geissanthus pichinchae
Geonoma undata,Geonoma undata
Gloeospermum grandifolium,Gloeospermum grandifolium
Gordonia fruticosa,Gordonia fruticosa
Graffenrieda cucullata,Graffenrieda cucullata
Grias peruviana,Grias peruviana
Grias theobromicarpa,Grias theobromicarpa
Guapira opposita,Guapira opposita
Guarea cartaguenya,Guarea cartaguenya
Guarea glabra,Guarea glabra
Guarea kunthiana,Guarea kunthiana
Guarea macrophylla,Guarea macrophylla
Guatteria goudotiana,Guatteria goudotiana
Guatteria microcarpa,Guatteria microcarpa
Guatteria pichinchae,Guatteria pichinchae
Guatteria venosa,Guatteria venosa
Guettarda sanblasensis,Guettarda sanblasensis
Gustavia johnclarkii,Gustavia johnclarkii
Handroanthus chrysanthus,Handroanthus chrysanthus
Haydenoxylon gentryi,Haydenoxylon gentryi
Hedyosmum anisodorum,Hedyosmum anisodorum
Hedyosmum cuatrecazanum,Hedyosmum cuatrecazanum
Hedyosmum cumbalense,Hedyosmum cumbalense
Hedyosmum goudotianum var. goudotianum,Hedyosmum goudotianum var. goudotianum
Hedyosmum luteynii,Hedyosmum luteynii
Hedyosmum scaberrimum,Hedyosmum scaberrimum
Hedyosmum scabrum,Hedyosmum scabrum
Heisteria asplundii,Heisteria asplundii
Heisteria pacifica,Heisteria pacifica
Helicostylis tovarensis,Helicostylis tovarensis
Heliocarpus americanus,Heliocarpus americanus
Henriettea verrucosa,Henriettea verrucosa
Hieronyma asperifolia,Hieronyma asperifolia
Hieronyma duquei,Hieronyma duquei
Hieronyma macrocarpa,Hieronyma macrocarpa
Hieronyma oblonga,Hieronyma oblonga
Hippotis scarlatina,Hippotis scarlatina
Hirtella mutisii,Hirtella mutisii
Huertea glandulosa,Huertea glandulosa
Idiopappus saloyensis,Idiopappus saloyensis
Ilex andicola,Ilex andicola
Ilex pernervata,Ilex pernervata
Inga acreana,Inga acreana
Inga laurina,Inga laurina
Inga alatocarpa,Inga alatocarpa
Inga carinata,Inga carinata
Inga acrocephala,Inga acrocephala
Inga acuminata,Inga acuminata
Inga lallensis,Inga lallensis
Inga ruiziana,Inga ruiziana
Inga silanchensis,Inga silanchensis
Inga chartacea,Inga chartacea
Inga cinnamomea,Inga cinnamomea
Inga coruscans,Inga coruscans
Inga densiflora,Inga densiflora
Inga fendleriana,Inga fendleriana
Inga glomeriflora,Inga glomeriflora
Inga leiocalycina,Inga leiocalycina
Inga multicaulis,Inga multicaulis
Inga nobilis subsp. quaternata,Inga nobilis subsp. quaternata
Inga pruriens,Inga pruriens
Inga punctata,Inga punctata
Inga spectabilis,Inga spectabilis
Iochroma calycinum,Iochroma calycinum
Iriartea deltoidea,Iriartea deltoidea
Jacaratia chocoensis,Jacaratia chocoensis
Juglans neotropica,Juglans neotropica
Licania durifolia,Licania durifolia
Licania megalophylla,Licania megalophylla
Licaria applanata,Licaria applanata
Lozanella enantiophylla,Lozanella enantiophylla
Lozania mutisiana,Lozania mutisiana
Magnolia mashpi,Magnolia mashpi
Matisia castano,Matisia castano
Matisia giacomettoi,Matisia giacomettoi
Matisia grandifolia,Matisia grandifolia
Maytenus macrocarpa,Maytenus macrocarpa
Meliosma arenosa,Meliosma arenosa
Meliosma occidentalis,Meliosma occidentalis
Meliosma echeverryana,Meliosma echeverryana
Meliosma frondosa,Meliosma frondosa
Meliosma peytonii,Meliosma peytonii
Meliosma vasquezii,Meliosma vasquezii
Meliosma violacea,Meliosma violacea
Meriania maxima,Meriania maxima
Meriania pichinchensis,Meriania pichinchensis
Meriania tomentosa,Meriania tomentosa
Miconia brevitheca,Miconia brevitheca
Miconia brachycalyx,Miconia brachycalyx
Miconia bracteolata,Miconia bracteolata
Miconia clathrantha,Miconia clathrantha
Miconia gracilis,Miconia gracilis
Miconia papillosa,Miconia papillosa
Miconia punctata,Miconia punctata
Miconia theaezans,Miconia theaezans
Miconia corymbiformis,Miconia corymbiformis
Miconia dapsiliflora,Miconia dapsiliflora
Miconia explicita,Miconia explicita
Miconia goniostigma,Miconia goniostigma
Miconia latifolia,Miconia latifolia
Miconia ochracea,Miconia ochracea
Miconia rivetii,Miconia rivetii
Monnina obovata,Monnina obovata
Monnina pseudopilosa,Monnina pseudopilosa
Morus insignis,Morus insignis
Myrcia neesiana,Myrcia neesiana
Myrcia splendens,Myrcia splendens
Myrcianthes hallii,Myrcianthes hallii
Myrcianthes orthostemon,Myrcianthes orthostemon
Myrcianthes rhopaloides,Myrcianthes rhopaloides
Myriocarpa stipitata,Myriocarpa stipitata
Myrsine andina,Myrsine andina
Myrsine coriacea,Myrsine coriacea
Naucleopsis capirensis,Naucleopsis capirensis
Naucleopsis chiguila,Naucleopsis chiguila
Naucleopsis naga,Naucleopsis naga
Nectandra acutifolia,Nectandra acutifolia
Nectandra longifolia,Nectandra longifolia
Nectandra membranacea,Nectandra membranacea
Nectandra purpurea,Nectandra purpurea
Nectandra subbullata,Nectandra subbullata
Nectandra obtusata,Nectandra obtusata
Ochroma pyramidale,Ochroma pyramidale
Ocotea benthamiana,Ocotea benthamiana
Ocotea cernua,Ocotea cernua
Ocotea floribunda,Ocotea floribunda
Ocotea heterochroma,Ocotea heterochroma
Ocotea pacifica,Ocotea pacifica
Ocotea pichinchensis,Ocotea pichinchensis
Ocotea cuneifolia,Ocotea cuneifolia
Ocotea insularis,Ocotea insularis
Ocotea oreophila,Ocotea oreophila
Ocotea pedanomischa,Ocotea pedanomischa
Ocotea rugosa,Ocotea rugosa
Oreopanax ecuadorensis,Oreopanax ecuadorensis
Oreopanax floribundus,Oreopanax floribundus
Oreopanax grandifolius,Oreopanax grandifolius
Oreopanax palamophyllus,Oreopanax palamophyllus
Ossaea macrophylla,Ossaea macrophylla
Ossaea micrantha,Ossaea micrantha
Otoba gordoniifolia,Otoba gordoniifolia
Otoba novogranatensis,Otoba novogranatensis
Palicourea acanthacea,Palicourea acanthacea
Palicourea amethystina,Palicourea amethystina
Palicourea andrei,Palicourea andrei
Palicourea apicata,Palicourea apicata
Palicourea demissa,Palicourea demissa
Palicourea guianensis,Palicourea guianensis
Palicourea chimboracensis,Palicourea chimboracensis
Palicourea palenquensis,Palicourea palenquensis
Palicourea pyramidalis,Palicourea pyramidalis
Palicourea sodiroi,Palicourea sodiroi
Panopsis megistosperma,Panopsis megistosperma
Pentagonia macrophylla,Pentagonia macrophylla
Persea pseudofasciculata,Persea pseudofasciculata
Persea rigens,Persea rigens
Pholidostachys dactyloides,Pholidostachys dactyloides
Phytelephas aequatorialis,Phytelephas aequatorialis
Piper aequale,Piper aequale
Piper barbatum,Piper barbatum
Piper carpunya,Piper carpunya
Piper obliquum,Piper obliquum
Piper crassinervium,Piper crassinervium
Piper hylophilum,Piper hylophilum
Piper imperiale,Piper imperiale
Piper nubigenum,Piper nubigenum
Pittoniotis rotata,Pittoniotis rotata
Pleurothyrium giganthum,Pleurothyrium giganthum
Pleurothyrium glabritepalum,Pleurothyrium glabritepalum
Posoqueria chocoana,Posoqueria chocoana
Poulsenia armata,Poulsenia armata
Pourouma bicolor subsp. scobina,Pourouma bicolor subsp. scobina
Prestoea acuminata,Prestoea acuminata
Prestoea decurrens,Prestoea decurrens
Protium ecuadorense,Protium ecuadorense
Prunus huantensis,Prunus huantensis
Pseudolmedia gentryi,Pseudolmedia gentryi
Psychotria brachiata,Psychotria brachiata
Psychotria hazenii,Psychotria hazenii
Psychotria montivaga,Psychotria montivaga
Rauvolfia leptophylla,Rauvolfia leptophylla
Rhodostemonodaphne cyclops,Rhodostemonodaphne cyclops
Rhodostemonodaphne kunthiana,Rhodostemonodaphne kunthiana
Richeria dressleri,Richeria dressleri
Roupala montana,Roupala montana
Ruagea glabra,Ruagea glabra
Ruagea pubescens,Ruagea pubescens
Ruagea tomentosa,Ruagea tomentosa
Salacia cordata,Salacia cordata
Sapium glandulosum,Sapium glandulosum
Sapium laurifolium,Sapium laurifolium
Sapium marmieri,Sapium marmieri
Sapium stylare,Sapium stylare
Saurauia brachybotrys,Saurauia brachybotrys
Saurauia bullosa,Saurauia bullosa
Saurauia herthae,Saurauia herthae
Saurauia prainiana,Saurauia prainiana
Saurauia pseudostrigillosa,Saurauia pseudostrigillosa
Saurauia tomentosa,Saurauia tomentosa
Schefflera sodiroi,Schefflera sodiroi
Sessea crassivenosa,Sessea crassivenosa
Sessea vestita,Sessea vestita
Simarouba amara,Simarouba amara
Siparuna aspera,Siparuna aspera
Siparuna multiflora,Siparuna multiflora
Siparuna echinata,Siparuna echinata
Siparuna lepidota,Siparuna lepidota
Siparuna pilosolepidota,Siparuna pilosolepidota
Sloanea medusula,Sloanea medusula
Socratea rostrata,Socratea rostrata
Solanum cucullatum,Solanum cucullatum
Solanum hypaleurotrichum,Solanum hypaleurotrichum
Solanum lepidotum,Solanum lepidotum
Sorocea jaramilloi,Sorocea jaramilloi
Sorocea trophoides,Sorocea trophoides
Sphaeropteris quindiuensis,Sphaeropteris quindiuensis
Spirotheca awadendron,Spirotheca awadendron
Stylogyne ardisioides,Stylogyne ardisioides
Styrax cordatus,Styrax cordatus
Styrax heterotrichus,Styrax heterotrichus
Symplocos fimbriata,Symplocos fimbriata
Symplocos fuliginosa,Symplocos fuliginosa
Symplocos quitensis,Symplocos quitensis
Symplocos subandina,Symplocos subandina
Tabernaemontana markgrafiana,Tabernaemontana markgrafiana
Tapirira rubrinervis,Tapirira rubrinervis
Tetrorchidium andinum,Tetrorchidium andinum
Tetrorchidium euryphyllum,Tetrorchidium euryphyllum
Theobroma gileri,Theobroma gileri
Tournefortia fuliginosa,Tournefortia fuliginosa
Tovomita croatii,Tovomita croatii
Tovomita weddelliana,Tovomita weddelliana
Trema integerrima,Trema integerrima
Trichilia pallida,Trichilia pallida
Trichilia primogenita,Trichilia primogenita
Trichospermum galeottii,Trichospermum galeottii
Triplaris cumingiana,Triplaris cumingiana
Turpinia occidentalis,Turpinia occidentalis
Urera caracasana,Urera caracasana
Vallea stipularis,Vallea stipularis
Varronia cylindristachya,Varronia cylindristachya
Verbesina arborea,Verbesina arborea
Verbesina brachypoda,Verbesina brachypoda
Verbesina latisquama,Verbesina latisquama
Verbesina lloensis,Verbesina lloensis
Vernonanthura patens,Vernonanthura patens
Viburnum pichinchense,Viburnum pichinchense
Viburnum triphyllum,Viburnum triphyllum
Virola elongata,Virola elongata
Virola reidii,Virola reidii
Virola sebifera,Virola sebifera
Vismia lateriflora,Vismia lateriflora
Weinmannia auriculata,Weinmannia auriculata
Weinmannia balbisiana,Weinmannia balbisiana
Weinmannia glomerata,Weinmannia glomerata
Weinmannia lentiscifolia,Weinmannia lentiscifolia
Weinmannia pinnata,Weinmannia pinnata
Wettinia oxycarpa,Wettinia oxycarpa
Wettinia quinaria,Wettinia quinaria
Xanthosoma sagittifolium,Xanthosoma sagittifolium
Zanthoxylum bonifazieae,Zanthoxylum bonifazieae
Zanthoxylum quinduense,Zanthoxylum quinduense
Zanthoxylum verrucosum,Zanthoxylum verrucosum
Zanthoxylum formiciferum,Zanthoxylum formiciferum
Brosimum utile,Brosimum utile
Ficus americana,Ficus americana
Inga nobilis,Inga nobilis
Pourouma bicolor,Pourouma bicolor
Aegiphila lopez-palacii,Aegiphila lopez-palacii
Bactris gasipaes,Bactris gasipaes
Conostegia centronioides,Conostegia centronioides
Hedyosmum goudotianum,Hedyosmum goudotianum
Acalypha alchorneoides,Acalypha diversifolia
Acalypha betuloides,Acalypha diversifolia
Acalypha billbergiana,Acalypha diversifolia
Acalypha callosa var. glabra,Acalypha diversifolia
Acalypha carpinifolia,Acalypha diversifolia
Acalypha carpinifolia,Acalypha diversifolia
Acalypha diversifolia var. caloneura,Acalypha diversifolia
Acalypha diversifolia var. carpinifolia,Acalypha diversifolia
Acalypha diversifolia var. leptostachya,Acalypha diversifolia
Acalypha diversifolia var. popayanensis,Acalypha diversifolia
Acalypha diversifolia var. squarrosa,Acalypha diversifolia
Acalypha hartwegiana,Acalypha diversifolia
Acalypha inaequalis,Acalypha diversifolia
Acalypha leptostachya,Acalypha diversifolia
Acalypha leptostachya,Acalypha diversifolia
Acalypha leptostachya var. carpinifolia,Acalypha diversifolia
Acalypha leptostachya var. popayanensis,Acalypha diversifolia
Acalypha microgyna,Acalypha diversifolia
Acalypha panamensis,Acalypha diversifolia
Acalypha popayanensis,Acalypha diversifolia
Acalypha salicioides,Acalypha diversifolia
Acalypha samydifolia,Acalypha diversifolia
Acalypha tabascensis,Acalypha diversifolia
Acalypha ulmifolia,Acalypha diversifolia
Acalypha vermifera,Acalypha diversifolia
Brosimum heteroclitum,Acalypha diversifolia
Ricinocarpus diversifolius,Acalypha diversifolia
Ricinocarpus samydifolius,Acalypha diversifolia
Ehretia bogotensis,Aegiphila bogotensis
Aequatorium polygonoides,Aequatorium jamesonii
Aequatorium verrucosum,Aequatorium jamesonii
Gynoxys jamesonii,Aequatorium jamesonii
Gynoxys repanda,Aequatorium jamesonii
Gynoxys simulans,Aequatorium jamesonii
Senecio polygonoides,Aequatorium jamesonii
Senecio simulans,Aequatorium jamesonii
Genipa williamsii,Agouticarpa williamsii
Cinnamomum formicarium,Aiouea formicaria
Cinnamomum palaciosii,Aiouea palaciosii
Alchornea acroneura,Alchornea triplinervia
Alchornea brevistyla,Alchornea triplinervia
Alchornea glandulosa var. parvifolia,Alchornea triplinervia
Alchornea intermedia,Alchornea triplinervia
Alchornea janeirensis,Alchornea triplinervia
Alchornea nemoralis,Alchornea triplinervia
Alchornea nemoralis var. intermedia,Alchornea triplinervia
Alchornea nemoralis var. lanceolata,Alchornea triplinervia
Alchornea nemoralis var. parvifolia,Alchornea triplinervia
Alchornea nemoralis var. psilorhachis,Alchornea triplinervia
Alchornea nemoralis var. rotundifolia,Alchornea triplinervia
Alchornea obovata,Alchornea triplinervia
Alchornea parvifolia,Alchornea triplinervia
Alchornea parvifolia,Alchornea triplinervia
Alchornea psilorhachis,Alchornea triplinervia
Alchornea rotundifolia,Alchornea triplinervia
Alchornea triplinervia fo. intermedia,Alchornea triplinervia
Alchornea triplinervia fo. psilorhachis,Alchornea triplinervia
Alchornea triplinervia var. boliviana,Alchornea triplinervia
Alchornea triplinervia var. crassifolia,Alchornea triplinervia
Alchornea triplinervia var. genuina,Alchornea triplinervia
Alchornea triplinervia var. iricuranoide,Alchornea triplinervia
Alchornea triplinervia var. iricuranoides,Alchornea triplinervia
Alchornea triplinervia var. janeirensis,Alchornea triplinervia
Alchornea triplinervia var. laevigata,Alchornea triplinervia
Alchornea triplinervia var. lanceolata,Alchornea triplinervia
Alchornea triplinervia var. nemoralis,Alchornea triplinervia
Alchornea triplinervia var. parvifolia,Alchornea triplinervia
Alchornea triplinervia var. tomentella,Alchornea triplinervia
Alchornea triplinervia var. trinitatis,Alchornea triplinervia
Antidesma guatemalensis,Alchornea triplinervia
Antidesma triplinervium,Alchornea triplinervia
Alchornea glandulosa var. genuina,Alchornea glandulosa
Alchornea glandulosa var. hispida,Alchornea glandulosa
Alchornea glandulosa var. pavoniana,Alchornea glandulosa
Alchornea glandulosa var. pittieri,Alchornea glandulosa
Alchornea nemoralis var. glandulosa,Alchornea glandulosa
Alchornea pittieri,Alchornea glandulosa
Alchornea sodiroi,Alchornea glandulosa
Alchornea subrotunda,Alchornea glandulosa
Alchornea umboensis,Alchornea glandulosa
Schmidelia excelsa,Allophylus excelsus
Allophylus leiophloeus,Allophylus floribundus
Schmidelia floribunda,Allophylus floribundus
Cyathea aureonitens,Alsophila erinacea
Cyathea cuspidata var. rigida,Alsophila erinacea
Cyathea erinacea,Alsophila erinacea
Cyathea purpurascens,Alsophila erinacea
Nephelea aureonitens,Alsophila erinacea
Nephelea erinacea,Alsophila erinacea
Alsophila costalis,Alsophila firma
Alsophila furcata,Alsophila firma
Alsophila tenerifrons,Alsophila firma
Cyathea arida,Alsophila firma
Cyathea articulata,Alsophila firma
Cyathea firma,Alsophila firma
Cyathea firma,Alsophila firma
Cyathea gemmifera,Alsophila firma
Cyathea mexicana,Alsophila firma
Cyathea patellaris,Alsophila firma
Cyathea trejoi,Alsophila firma
Hemitelia firma,Alsophila firma
Nephelea mexicana,Alsophila firma
Cyathea canescens,Alsophila incana
Cyathea incana,Alsophila incana
Cyathea sprucei,Alsophila incana
Nephelea incana,Alsophila incana
Cyathea cuspidata,Alsophila cuspidata
Cyathea hassleriana,Alsophila cuspidata
Cyathea hassleriana var. rojasii,Alsophila cuspidata
Cyathea oxyacantha,Alsophila cuspidata
Cyathea oyapoka,Alsophila cuspidata
Cyathea punctifera,Alsophila cuspidata
Nephelea cuspidata,Alsophila cuspidata
Raimondia deceptrix,Annona deceptrix
Annona biflora,Annona mucosa
Annona biflora,Annona mucosa
Annona obtusiflora,Annona mucosa
Annona obtusifolia,Annona mucosa
Annona parviflora,Annona mucosa
Annona parviflora,Annona mucosa
Annona pterocarpa,Annona mucosa
Annona pteropetala,Annona mucosa
Annona pteropetala,Annona mucosa
Annona reticulata var. mucosa,Annona mucosa
Rollinia biflora,Annona mucosa
Rollinia curvipetala,Annona mucosa
Rollinia deliciosa,Annona mucosa
Rollinia jimenezii,Annona mucosa
Rollinia jimenezii var. nelsonii,Annona mucosa
Rollinia micrantha,Annona mucosa
Rollinia mucosa,Annona mucosa
Rollinia mucosa subsp. aequatorialis,Annona mucosa
Rollinia mucosa subsp. portoricensis,Annona mucosa
Rollinia mucosa var. macropoda,Annona mucosa
Rollinia mucosa var. neglecta,Annona mucosa
Rollinia neglecta,Annona mucosa
Rollinia orthopetala,Annona mucosa
Rollinia permensis,Annona mucosa
Rollinia pterocarpa,Annona mucosa
Rollinia pulchrinervia,Annona mucosa
Rollinia sieberi,Annona mucosa
Aphelandra quercifolia,Aphelandra acanthus
Odontophyllum acanthus,Aphelandra acanthus
Axinaea affinis,Axinaea macrophylla
Axinaea floribunda,Axinaea macrophylla
Chastenaea floribunda,Axinaea macrophylla
Chastenaea macrophylla,Axinaea macrophylla
Kuhlia glauca,Banara glauca
Banara magnifolia,Banara regia
Ocotea alloiophylla,Beilschmiedia alloiophylla
Aniba pseudo-coto,Beilschmiedia tovarensis
Hufelandia tovarensis,Beilschmiedia tovarensis
Ocotea pseudo-coto,Beilschmiedia tovarensis
Beilschmiedia brenesii,Beilschmiedia pendula
Beilschmiedia costaricensis,Beilschmiedia pendula
Cryptocarya kostermansiana,Beilschmiedia pendula
Hufelandia costaricensis,Beilschmiedia pendula
Hufelandia pendula,Beilschmiedia pendula
Hufelandia thomaea,Beilschmiedia pendula
Laurus pendula,Beilschmiedia pendula
Billia columbiana,Billia rosea
Billia hippocastanum,Billia rosea
Putzeysia rosea,Billia rosea
Topobea rotundifolia,Blakea rotundifolia
Boehmeria fallax var. cordata,Boehmeria fallax
Alicastrum guianense,Brosimum guianense
Brosimum aubletii,Brosimum guianense
Brosimum discolor,Brosimum guianense
Brosimum lecointei,Brosimum guianense
Brosimum lemeei,Brosimum guianense
Brosimum palmarum,Brosimum guianense
Brosimum panamense,Brosimum guianense
Brosimum rotundatum,Brosimum guianense
Brosimum tessmannii,Brosimum guianense
Brosimum velutinum,Brosimum guianense
Piratinera discolor,Brosimum guianense
Piratinera guianensis,Brosimum guianense
Piratinera lemeei,Brosimum guianense
Piratinera mollis,Brosimum guianense
Piratinera panamensis,Brosimum guianense
Piratinera scabridula,Brosimum guianense
Piratinera velutina,Brosimum guianense
Brownea herthae,Brownea multijuga
Brunellia darienensis,Brunellia acostae
Brunellia diversifolia,Brunellia acostae
Malpighia argentea,Bunchosia argentea
Calatola columbiana,Calatola costaricensis
Calatola pastazana,Calatola costaricensis
Calatola venezuelana,Calatola costaricensis
Carica manihot,Carica microcarpa
Papaya manihot,Carica microcarpa
Papaya microcarpa,Carica microcarpa
Vasconcellea manihot,Carica microcarpa
Vasconcellea microcarpa,Carica microcarpa
Casearia bangii,Casearia arborea
Casearia brasiliensis,Casearia arborea
Casearia cambessedesii,Casearia arborea
Casearia cambessedesii,Casearia arborea
Casearia cambessedesii var. angustifolia,Casearia arborea
Casearia cambessedesii var. parvifolia,Casearia arborea
Casearia capitata,Casearia arborea
Casearia glaberrima,Casearia arborea
Casearia glaziovii,Casearia arborea
Casearia hostmanniana,Casearia arborea
Casearia incana,Casearia arborea
Casearia lanceolata,Casearia arborea
Casearia oligantha,Casearia arborea
Casearia poeppigii,Casearia arborea
Casearia serrata,Casearia arborea
Casearia stipularis,Casearia arborea
Casearia stipularis,Casearia arborea
Casearia umbellifera,Casearia arborea
Chaetocrater capitatum,Casearia arborea
Guidonia stipularis,Casearia arborea
Samyda arborea,Casearia arborea
Samyda niviana,Casearia arborea
Samyda stipularis,Casearia arborea
Samyda virgata,Casearia arborea
Samyda viridiflora,Casearia arborea
Anavinga samyda,Casearia sylvestris
Casearia affinis,Casearia sylvestris
Casearia attenuata,Casearia sylvestris
